Time (s),Abs (au)
10635.48,0.059498992
10697.7,0.059129313
10759.86,0.059156217
10822.08,0.059179708
10884.3,0.058784425
10946.58,0.0591981
11008.86,0.059245244
11071.08,0.059168022
11133.24,0.059241328
11195.46,0.059066404
11257.62,0.058944263
11319.9,0.059286844
11382.12,0.059187748
11444.34,0.059171017
11506.62,0.058964454
11568.84,0.059106592
11631.12,0.059194304
11693.34,0.059042234
11755.56,0.058977857
11817.78,0.05893774
11880,0.058978509
11942.22,0.058704942
12004.44,0.058703434
12066.66,0.059287317
12128.94,0.05903497
12191.22,0.059090693
12253.5,0.05921964
12315.66,0.059099145
12377.88,0.059259072
12440.1,0.058819015
12502.32,0.059045438
12564.54,0.059363462
12626.82,0.059142273
12689.1,0.058598369
12751.32,0.059163038
12813.54,0.058927186
12875.76,0.059205636
12937.98,0.059134264
13000.2,0.059303727
13062.42,0.058780927
13124.64,0.059498962
13186.86,0.059083488
13249.14,0.059133731
13311.48,0.059491631
13373.7,0.059119761
13435.98,0.058958642
13498.2,0.059287228
13560.42,0.058874387
13622.64,0.059306752
13684.8,0.059628356
13747.02,0.059281502
13809.24,0.059048373
13871.4,0.059315298
13933.62,0.059198547
13995.84,0.0592448
14058.06,0.058886275
14120.34,0.05884999
14182.62,0.059156511
14244.78,0.059208158
14307.12,0.059490323
14369.28,0.059291441
14431.56,0.059032567
14493.78,0.059387177
14555.94,0.0586522
14618.22,0.059334293
14680.44,0.059245866
14742.66,0.059569415
14804.94,0.059355896
14867.22,0.058811724
14929.38,0.059353847
14991.66,0.059188489
15053.88,0.059242841
15116.1,0.059432529
15178.44,0.059345629
15240.72,0.059410147
15303,0.059394032
15365.22,0.059465863
15427.5,0.059492223
15489.78,0.059091229
15552.06,0.059268951
15614.34,0.059298918
15676.56,0.059275657
15738.84,0.059309244
15801.06,0.059277229
15863.28,0.059571225
15925.56,0.059662625
15987.78,0.059378065
16050,0.05938765
16112.28,0.059504308
16174.5,0.059242249
16236.84,0.059131
16299.06,0.059315212
16361.22,0.059286397
16423.5,0.059557598
16485.72,0.059446923
16548,0.059631534
16610.28,0.05939905
16672.68,0.05950493
16735.02,0.059436891
16797.24,0.05958328
16859.46,0.059536487
16921.68,0.05951152
16983.9,0.059784465
17046.18,0.059495669
17108.4,0.059552997
17170.74,0.059470344
17232.9,0.05931171
17295.12,0.059540704
17357.34,0.059525978
17419.56,0.059701443
17481.78,0.059307139
17544.06,0.059452269
17606.22,0.059410863
17668.5,0.059721701
17730.78,0.05888227
17793,0.059476074
17855.22,0.059519388
17917.5,0.059639227
17979.78,0.059753068
18042,0.059312005
18104.22,0.059698831
18166.5,0.059511848
18228.78,0.059419826
18290.94,0.059850417
18353.28,0.059380408
18415.56,0.059507482
18477.78,0.059247114
18540,0.059290078
18602.16,0.059216347
18664.56,0.059521645
18726.78,0.059579272
18789.18,0.059537202
18851.4,0.059685584
18913.74,0.059365839
18976.02,0.059464023
19038.3,0.059502881
19100.46,0.059692059
19162.68,0.059553888
19224.96,0.059524406
19287.24,0.059374504
19349.52,0.059637412
19411.8,0.059954539
19473.96,0.059533194
19536.24,0.059639316
19598.52,0.059253372
19660.74,0.059584796
19722.96,0.059724402
19785.18,0.059565913
19847.46,0.059651699
19909.62,0.059517428
19971.9,0.059304588
20034.18,0.05928269
20096.46,0.059698325
20158.74,0.059600089
20221.14,0.05957868
20283.54,0.059699126
20345.82,0.05948038
20408.04,0.059750453
20470.38,0.060003873
20532.66,0.05980951
20594.94,0.060185328
20657.82,0.059561696
20720.1,0.059717543
20782.38,0.059529454
20844.72,0.059611876
20906.94,0.059803359
20969.28,0.059485544
21031.56,0.059737917
21093.9,0.05987202
21156.18,0.05949175
21218.46,0.059295002
21280.8,0.059688374
21343.02,0.059778702
21405.36,0.059812807
21467.58,0.059413623
21529.92,0.05951149
21592.14,0.059689268
21654.48,0.059769642
21716.88,0.059946008
21779.22,0.059367053
21841.56,0.06015408
21903.9,0.059746977
21966.24,0.059926484
22028.58,0.06002878
22090.74,0.059552252
22152.96,0.059660994
22215.24,0.059610125
22277.52,0.059441909
22339.98,0.059868511
22402.32,0.059889637
22464.6,0.060175605
22526.76,0.059893411
22589.04,0.059813876
22651.44,0.060181435
22713.66,0.059920184
22775.88,0.05958055
22838.22,0.059883222
22900.44,0.059905861
22962.72,0.059834789
23024.94,0.060003426
23087.22,0.059595395
23149.44,0.059811261
23211.66,0.060211107
23274.36,0.059944581
23336.64,0.059862539
23399.04,0.060230199
23461.32,0.059979741
23523.6,0.05964864
23585.88,0.060084216
23648.16,0.06016865
23710.44,0.059844032
23772.72,0.060035497
23835,0.060015433
23897.28,0.059766315
23959.68,0.059929725
24021.96,0.059942503
24084.24,0.059899058
24146.52,0.060083888
24208.86,0.059711929
24271.2,0.060345475
24333.48,0.060176201
24395.82,0.060029998
24458.04,0.060002178
24520.32,0.059654817
24582.48,0.059837881
24644.82,0.06014403
24707.1,0.059558488
24769.5,0.059967197
24831.9,0.060033772
24894.18,0.059834939
24956.58,0.059960719
25018.98,0.059977598
25081.32,0.060028572
25143.54,0.060054697
25205.94,0.060198471
25268.16,0.05973183
25330.5,0.059828788
25392.78,0.060149975
25455.06,0.060100716
25517.46,0.059972428
25579.8,0.06007072
25642.08,0.059960391
25704.42,0.059951954
25766.88,0.05992889
25829.22,0.060098335
25891.56,0.060002208
25953.78,0.060077261
26016.06,0.060022239
26078.28,0.060156368
26140.56,0.059852559
26202.9,0.059971746
26265.24,0.060002089
26327.52,0.060159966
26389.68,0.060143705
26452.02,0.06042023
26514.18,0.060224667
26576.52,0.060193475
26638.8,0.060093522
26701.02,0.060295805
26763.36,0.059907109
26825.64,0.060453016
26888.04,0.060176201
26950.26,0.059817024
27012.54,0.0603812
27074.94,0.060179949
27137.28,0.060123932
27199.68,0.059911747
27262.02,0.060315732
27324.36,0.060270555
27386.7,0.060338724
27449.04,0.060278852
27511.44,0.060280815
27573.78,0.060045067
27636.06,0.059989367
27698.4,0.060408864
27760.68,0.060013801
27822.96,0.060149144
27885.36,0.0601773
27947.58,0.060274124
28009.92,0.060419783
28072.2,0.060112786
28134.54,0.060226541
28196.88,0.059775405
28259.22,0.060157619
28321.5,0.059997838
28383.78,0.060041532
28446.18,0.06007063
28508.4,0.060668118
28570.86,0.060743283
28633.08,0.060240339
28695.48,0.060275879
28757.7,0.060215689
28820.1,0.060354605
28882.38,0.060446829
28944.84,0.060267728
29007.06,0.060849525
29069.4,0.060208164
29131.74,0.060456049
29194.08,0.060478453
29256.42,0.060711488
29318.76,0.060207006
29381.1,0.06045239
29443.56,0.060198113
29505.9,0.060332179
29568.18,0.060524277
29630.52,0.060302585
29692.74,0.060397532
29755.08,0.060146082
29817.36,0.060408361
29879.7,0.060584866
29941.98,0.060084008
30004.26,0.060642697
30066.6,0.060236622
30128.82,0.060541328
30191.1,0.06006198
30253.38,0.060304042
30315.72,0.060200732
30378,0.060378999
30440.34,0.060616236
30502.8,0.060660079
30565.08,0.060159106
30627.36,0.060446974
30689.58,0.060568053
30752.04,0.060578022
30814.38,0.060411096
30876.6,0.060527284
30938.94,0.060339794
31001.22,0.060644601
31063.56,0.06051556
31125.84,0.060294643
31188.36,0.060656805
31250.76,0.060537282
31313.04,0.060763262
31375.44,0.060031872
31437.84,0.060719945
31500.24,0.060491219
31562.52,0.060191248
31624.8,0.060511451
31687.32,0.060621683
31749.66,0.060424216
31811.94,0.060595196
31874.34,0.060796756
31936.8,0.06033786
31999.08,0.060409103
32061.48,0.060440727
32123.94,0.060593348
32186.22,0.060436204
32248.56,0.0604936
32310.78,0.060608827
32373.12,0.06083392
32435.4,0.060413923
32497.74,0.06061814
32560.2,0.060509041
32622.66,0.060800482
32685.06,0.060750339
32747.4,0.060555968
32809.8,0.06059055
32872.08,0.060553379
32934.42,0.061133683
32996.76,0.060633797
33059.28,0.060924426
33121.62,0.060903843
33183.9,0.060904082
33246.18,0.060796522
33308.52,0.060886718
33370.74,0.060980663
33433.14,0.060461108
33495.42,0.060848214
33557.76,0.060977027
33620.1,0.061001096
33682.44,0.060893033
33744.72,0.060736854
33807.06,0.060657579
33869.34,0.061017599
33931.74,0.060574092
33994.08,0.060688268
34056.48,0.06075808
34118.88,0.060710773
34181.22,0.060812987
34243.44,0.060775023
34305.72,0.060773712
34368.24,0.060982358
34430.52,0.060753733
34492.92,0.06080861
34555.2,0.060843181
34617.48,0.060678892
34679.76,0.060730215
34742.28,0.060867421
34804.74,0.060979083
34867.14,0.061358839
34929.42,0.06065109
34991.76,0.060968924
35054.16,0.060887195
35116.44,0.060842615
35178.72,0.060813107
35241,0.061063092
35303.28,0.061124712
35365.8,0.060978845
35428.2,0.060738195
35490.42,0.061179724
35552.7,0.061084338
35615.4,0.06092073
